<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;180503;000000;228.42;232.74;227.5;228.03;79557540
SBER;D;180504;000000;229.59;230.94;225.7;228.55;48071660
SBER;D;180507;000000;230.2;232.18;229.06;229.86;37180430
SBER;D;180508;000000;227.77;228.48;224.5;226.7;55830890
SBER;D;180510;000000;228.5;234.14;228.37;233.7;72107560
SBER;D;180511;000000;234.3;237.95;233.74;235.72;55032410
SBER;D;180514;000000;236.22;237.8;234.03;237.8;34741670
SBER;D;180515;000000;237.5;237.5;230.4;231.39;52925240
SBER;D;180516;000000;230.88;232;226.7;229.8;70111320
SBER;D;180517;000000;230.02;231.25;226.05;226.05;43411210
SBER;D;180518;000000;225.71;228.16;222.2;222.2;60256410
SBER;D;180521;000000;223.55;226.8;223.55;226.21;38947410
SBER;D;180522;000000;227.27;227.27;222.95;225.6;43217100
SBER;D;180523;000000;223.12;224.07;221;221;48689890
SBER;D;180524;000000;221.92;223.7;221.12;222.01;37182550
SBER;D;180525;000000;222.52;223.48;219;220;50121930
SBER;D;180528;000000;219.47;221.5;219.2;220.9;23163930
SBER;D;180529;000000;220.65;222.13;217.1;219;35915960
SBER;D;180530;000000;219.3;221.55;217.88;221.01;48577040
SBER;D;180531;000000;221.98;224.35;220;222.36;67355330
SBER;D;180601;000000;221.5;222.77;220;220;35486150
SBER;D;180604;000000;221.14;222.67;218.57;220;32190880
SBER;D;180605;000000;220;220.79;214.51;215.56;51356070
SBER;D;180606;000000;216.01;218.19;214.65;217.9;35757900
SBER;D;180607;000000;218.94;219.45;216.41;216.41;32382500
SBER;D;180608;000000;215.99;217;210.25;210.95;67550410
SBER;D;180609;000000;211.52;213.27;211.5;212.6;6450540
SBER;D;180611;000000;212.58;213.61;208.33;210.35;28258150
SBER;D;180613;000000;211.25;216.13;209.63;215;48493030
SBER;D;180614;000000;214.8;217.49;213.6;214;42714160
SBER;D;180615;000000;213.9;215;207.9;209.36;86197300
SBER;D;180618;000000;209;211.2;205.01;206.3;54250200
SBER;D;180619;000000;204;206.77;202.11;206;51282280
SBER;D;180620;000000;207.02;212.37;207.02;212.2;60940670
SBER;D;180621;000000;212.2;214.16;208.62;210.4;65015400
SBER;D;180622;000000;211.63;215;209.62;214.43;67423210
SBER;D;180625;000000;204.5;206.94;202.51;202.51;56116320
SBER;D;180626;000000;203.51;205;199.6;199.91;54707960
SBER;D;180627;000000;201.85;209.33;198.55;207.95;80687300
SBER;D;180628;000000;207.81;210.63;207.01;208.5;46830280
SBER;D;180629;000000;210.12;218.3;210.09;218;76660960
SBER;D;180702;000000;217.01;222.83;216;221.01;55104090
SBER;D;180703;000000;221.2;222.45;217.1;218.45;38357870
SBER;D;180704;000000;218.3;219.56;216.61;217.7;20256320
SBER;D;180705;000000;217.48;224.54;216.85;224.54;53715930
SBER;D;180706;000000;225.02;227.59;221.61;226.71;55137560
SBER;D;180709;000000;228.5;231.24;228.2;230;49493270
SBER;D;180710;000000;230.95;232.25;228;230.3;43190130
SBER;D;180711;000000;229.2;229.2;224.8;227.57;57983440
SBER;D;180712;000000;226.76;228.45;225.1;226.6;40332870
SBER;D;180713;000000;227.3;230.86;227.22;229.85;39581560
SBER;D;180716;000000;230.1;231;226.42;227.99;35476130
SBER;D;180717;000000;226.91;227;220.52;222.5;62529500
SBER;D;180718;000000;222;224;215.64;216.28;61074310
SBER;D;180719;000000;216.8;217.11;206.56;207.5;93226350
SBER;D;180720;000000;207.8;210.95;201.1;204.34;126624340
SBER;D;180723;000000;205.42;210.4;205.25;208.42;55220910
SBER;D;180724;000000;208.92;215.45;208.92;215.45;54048140
SBER;D;180725;000000;210.99;215.45;208.34;213.7;76238900
SBER;D;180726;000000;215.7;216.51;209.11;210;59569060
SBER;D;180727;000000;210;211.22;205.58;208.9;58570630
SBER;D;180730;000000;207.77;212.49;206.56;211.33;48306180
SBER;D;180731;000000;211.02;214.94;210.24;214.86;45243210
SBER;D;180801;000000;213.61;215.2;210.57;210.6;37524870
SBER;D;180802;000000;209;211.72;205.13;206.6;57931080
SBER;D;180803;000000;206.49;206.55;202;202.21;74011290
